"","V1"
"277",0.846650989171669
"278",0.844428932190859
"279",0.844428932190859
"280",0.844428932190859
"281",0.841802851114478
"282",0.844428932190859
"283",0.837230019622033
"284",0.760687105747682
"285",0.742146001215936
"286",0.745643716689771
"287",0.742146001215935
"288",0.760687105747683
"289",0.760687105747682
"290",0.760687105747682
"291",0.775851494897488
"292",0.757512998320713
"293",0.757512998320713
"294",0.801879445495697
"295",0.765751434899001
"296",0.788305652305381
"297",0.788305652305381
"298",0.788305652305381
"299",0.766704147944906
"300",0.766704147944907
"301",0.783136087083043
"302",0.789469936315408
"303",0.790466022987509
"304",0.745548821140989
"305",0.744547444747965
"306",0.746644624523378
"307",0.757517307509109
"308",0.757143208007541
"309",0.756220596713605
"310",0.754435775816047
"311",0.754435775816047
"312",0.775997889768614
"313",0.762185505863127
"314",0.77948626829819
"315",0.764978693037037
"316",0.77948626829819
"317",0.789067700233764
"318",0.80323789240059
"319",0.774527785243357
"320",0.782487188170853
"321",0.765883604289378
"322",0.775411051102972
"323",0.778794682192293
"324",0.776440846377107
"325",0.780478033787457
"326",0.777856229778433
"327",0.782540323793362
"328",0.777856229778433
"329",0.777856229778433
"330",0.801427918965721
"331",0.784951141783046
"332",0.756588762651201
"333",0.756588762651202
"334",0.756588762651201
"335",0.776164069744473
"336",0.780595886358977
"337",0.776164069744473
"338",0.776164069744473
"339",0.773957936109562
"340",0.776164069744473
"341",0.761991693418373
"342",0.766041617002864
"343",0.775129198916467
"344",0.773694325450645
"345",0.759916492581004
"346",0.759916492581004
"347",0.798266556862725
"348",0.787952034793303
"349",0.801482560045395
"350",0.802722269872782
"351",0.824067008458206
"352",0.815844066228122
"353",0.763530426067451
"354",0.82223727893395
"355",0.769940641142737
"356",0.840422798925342
"357",0.802754445174158
"358",0.791488641176667
"359",0.791488641176667
"360",0.799160470976792
"361",0.802459136529257
"362",0.781256789294422
"363",0.783905008329778
"364",0.783563548734856
"365",0.863723601538038
"366",0.857998618337696
"367",0.839161993408072
"368",0.861863030229587
"369",0.889181179315947
"370",0.889181179315948
"371",0.834626331666157
"372",0.858444270040328
"373",0.766759648780086
"374",0.805764843515183
"375",0.767938293267264
"376",0.801981039117419
"377",0.794258537065855
"378",0.779974342261716
"379",0.778059655617652
"380",0.82542770002025
"381",0.797175501963668
"382",0.797175501963667
"383",0.797175501963667
"384",0.798238274474148
"385",0.747408486624691
"386",0.74740848662469
"387",0.730556615762373
"388",0.756328759893595
"389",0.754351118740601
"390",0.754351118740601
"391",0.79236843730526
"392",0.823993825945683
"393",0.822583649360251
"394",0.81539984214275
"395",0.815399842142751
"396",0.815399842142751
"397",0.791522741533942
"398",0.791522741533943
"399",0.793327491669461
"400",0.793327491669461
"401",0.782613386990229
"402",0.792122129546808
"403",0.791522741533943
"404",0.792122129546807
"405",0.790780637259465
"406",0.79371672642263
"407",0.796279278448829
"408",0.769625306506571
"409",0.770275546926545
"410",0.799813559257888
"411",0.778215901410156
"412",0.808977321067362
"413",0.830144264515377
"414",0.829779279191053
"415",0.829779279191053
"416",0.83226625374922
"417",0.835365484740198
"418",0.831252896688988
"419",0.809336287893695
"420",0.8016225980572
"421",0.83258313402821
"422",0.816855608545724
"423",0.805699853546046
"424",0.788897829539413
"425",0.805699853546045
"426",0.818934685489581
